Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1c[nH]c3ccccc13)C(=O)O)C2=O,Ki,'=',17000.0,nM,4.77,assay format,Beta-lactamase AmpC
CCC(=O)NC(=S)NNC(=O)c1ccc(OC)cc1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
Cc1ccc(C(=O)O)cc1-c1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3)C2=O)o1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CN(C)P(=O)(/C(=N/c1ccccc1)N1CCCC1)N1CCCC1,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1nn(-c2nnc(NC3CCCCC3)nn2)c(C)c1Br,Potency,'=',100000.0,nM,4.0,assay format,Beta-lactamase AmpC
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3N3CCCCC3)CC2)cc1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
CC[n+]1ccc(C[n+]2ccccc2)c2ccccc21.[I-].[I-],Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=C(CN1C(=O)S/C(=C\c2ccc(-c3cc(C(=O)O)ccc3Cl)o2)C1=O)Nc1ccc2c(c1)OCO2,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
O=C(O)CCCCC1CCSS1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cc1ccc(N(C(=O)CNC(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccncc2)cc1,Potency,'=',14125.4,nM,4.85,assay format,Beta-lactamase AmpC
CCCNC(=O)Cn1sc2nc(C)cc(C)c2c1=O,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
CN1CCCN(C(=O)CC2(CC(=O)O)CCCC2)CC1.Cl,Potency,'=',28183.8,nM,4.55,assay format,Beta-lactamase AmpC
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.[Na+],Potency,'=',354.8,nM,6.45,assay format,Beta-lactamase AmpC
CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cc(C)ccc2C)o1,Potency,'=',11220.2,nM,4.95,assay format,Beta-lactamase AmpC
CN1CCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2CC(N)=O)CC1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=CC(Br)P(=O)(N1CCOCC1)N1CCOCC1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
