SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
Cn1cc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c2ccccc21,MOL0144,OK,392.3670000000001,2.1684,2,5,116.91000000000003,5
Cc1ccccc1/N=C1\C(Cl)=C(O)OC1OC(=O)c1ccccc1C,MOL0145,OK,357.7930000000001,4.555140000000003,1,5,68.12,3
Cc1ccc(C(=O)OC2OC(=O)C(Cl)=C2N2CCOCC2)cc1,MOL0146,OK,337.7590000000001,1.81732,0,6,65.07000000000001,3
CCc1ccc(NC(=O)c2cc3sc(Cl)cc3n2C)cc1,MOL0147,OK,318.82900000000006,4.707900000000003,1,3,34.03,3
Cc1nc(N2CCN(C(=O)c3cccs3)CC2)c2c3c(sc2n1)CCCC3,MOL0148,OK,398.55700000000024,3.9024200000000038,0,6,49.330000000000005,2
C[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2ccccc2)o1,MOL0149,OK,367.4270000000001,2.629200000000001,1,7,111.39,5
Nc1ccc2nc3c(O)nc(S)nc3nc2c1,MOL0150,Filter74_thiol > 0,245.26700000000002,1.1494999999999997,3,7,97.81,0
O=C(N1CCOCC1)n1nnc2ccccc21,MOL0151,OK,232.24300000000002,0.7315999999999993,0,5,60.25,0
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](CC(C)C)NC(=O)OC(C)(C)C)o1,MOL0152,OK,423.5350000000002,3.963820000000003,1,7,111.39000000000001,7
O=C(N/N=C\C=C\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,MOL0153,Filter9_metal > 0,373.20600000000013,3.6068000000000016,1,4,59.92,4
O=C1c2ccccc2C(=O)N1OS(=O)(=O)c1ccc(F)cc1,MOL0154,OK,321.28499999999997,1.7422,0,5,80.75,3
Cc1ccc(S(=O)(=O)c2nc(C)oc2NCc2ccccc2)cc1,MOL0155,OK,342.42,3.736340000000002,1,5,72.2,5
CCCc1cc(=O)oc2cc(OCC(=O)Nc3ccc(S(N)(=O)=O)cc3)ccc12,MOL0156,Filter14_thio_oxopyrylium_salt > 0,416.4550000000001,2.4104,2,6,128.7,7
O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,MOL0157,Filter44_michael_acceptor2 > 0,422.34500000000014,2.4460000000000006,5,6,169.42999999999998,5
