Smiles,pChEMBL_Value
C=C1CCC(OC(C)=O)C2(C)CCC3C(C)C(=O)OC3C12O,6.2
C=C1CCC2[C@H](OC(=O)[C@]2(O)CO)[C@H]2C(=C)C(O)C[C@@H]12,3.95
C=C1C[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@]12C,4.4
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,6.15
C=C1N(CCCCCC(=O)O)C(=O)OC12CCCCC2,6.2
C=C1N2CCC(CC2)C1(O)c1ccc(C)cc1.Cl,4.85
C=C1N2CCC(CC2)C1(O)c1ccccc1C.Cl,4.75
C=C1c2cc(CC)ccc2NC(=O)N1c1ccc(C)cc1,5.75
C=CC(=O)N(CCC)C(c1ccccc1)c1ccccc1OC,5.35
C=CC(=O)NCc1ccc(-c2csnn2)cc1,4.0
C=CC(=O)Nc1sc2c(c1C(N)=O)CCCC2,4.4
C=CC(C)(O)CCC=C(C)C,4.65
C=CC/N=C1\SC(C)C(=O)N1S(=O)(=O)c1ccccc1,5.55
C=CC/N=C1\SCC(=O)N1S(=O)(=O)c1ccc(C)cc1,4.35
C=CC1C(N2CCOCC2)C(C)(C)S1(=O)=O,5.05
C=CCC(=O)N1CCCC(C(=O)c2ccc(Cl)cc2)C1,6.2
C=CCC(=O)N1CCCC(CO)(Cc2ccc(F)cc2F)C1,5.3
C=CCC(=O)NC1CC(C)(C)Cc2c1cnn2-c1ccc(OC)cc1,4.05
C=CCC(=O)OCC(=O)Nc1ccc(Cl)cn1,5.65
C=CCC(C#Cc1ccccc1)N(C)C,6.25
C=CCC(C#Cc1ccccc1)[N+](C)(C)CC=C.[Br-],5.55
C=CCC(C(=O)OC)(C(=O)OC)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],5.35
C=CCC(C=C)[N+]1(CC(=O)OC)CCCCC1.[Br-],4.15
C=CCC(CC=C)(C(=O)O)c1ccccc1,5.65
C=CCC(CC=C)(NC(=O)c1ccccc1)c1ccccc1,4.1
C=CCC(CC=C)(NC(=O)c1ccccc1C(=O)O)c1ccccc1,6.25
C=CCC(CC=C)(NC(=O)c1ccccc1C)c1ccccc1,5.9
C=CCC(NC(C)c1ccccc1)c1ccco1,4.0
