Smiles,pChEMBL_Value
CC(C)NC(=O)CN1C(=O)CCn2nc(-c3cn(C)c4ccccc34)cc21,4.05
CC(C)NC(=O)c1ccc2c(c1)nc1n2CCCCC1,5.15
CC(C)NC(=O)c1ccccc1NC(=O)c1nsc2ccccc12,4.55
CC(C)NC(=O)c1nn(-c2ccccc2F)nc1CO,5.1
CC(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCN(c3ccccc3F)CC2)cc1,4.0
CC(C)Nc1ccc(-c2nc(-c3ccncc3)no2)cc1[N+](=O)[O-],3.9
CC(C)OCCCN1C(=O)c2[nH]nc(-c3ccccc3O)c2C1c1ccccc1F,4.0
CC(C)OCCCNC(=O)CN1C(=O)c2cccnc2Sc2ccccc21,5.25
CC(C)OCc1cc(CN2CCN(c3ccccc3)CC2)c(O)c2ncccc12,5.95
CC(C)Oc1ccc(C(=O)N(Cc2ccc(N(C)C)cc2)C2CCS(=O)(=O)C2)cc1,5.0
CC(C)Oc1ccc(C(=O)N2CCC(c3nc4ccccc4o3)CC2)cc1,5.6
CC(C)Oc1ccc(C(=O)N2CCN(CCc3ccccn3)CC2)cc1,4.45
CC(C)Oc1ccc(C(=O)Nc2nonc2-c2ccc(OC(C)C)cc2)cc1,5.85
CC(C)Oc1ccc(CNC(=O)C2CCCN(S(=O)(=O)c3ccc4c(ccn4C)c3)C2)cc1,4.5
CC(C)Oc1ccc(CNC(=O)CCCN2C(=O)CCn3nc(-c4cccn4C)cc32)cc1,4.95
CC(C)Oc1ccc(CNC(=O)Cc2ccc(NC(=O)N3CCSc4ncccc43)cc2)cc1,4.1
CC(C)Oc1ccc(CNC(=O)Cn2c(=O)oc3ccccc32)cc1,5.5
CC(C)Oc1ccc(CNC(=O)c2cc3cccc4c3n2CC(C)S4)cc1,4.05
CC(C)Oc1ccc(CNC(=O)c2ccc3nc(C(C)C)oc3c2)cc1,4.0
CC(C)Oc1ccc(CNC(=O)c2cnc3sc(N4CCCC4)nn3c2=O)cc1,5.2
CC(C)Oc1ccc(CNC(=O)c2sc3ncccc3c2-n2cccc2)cc1,4.55
CC(C)Oc1cccc(C2CC(=O)Nc3cc4c(cc32)OCO4)c1,5.9
CC(C)Sc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCCC3,6.2
CC(C)Sc1ncc(Cl)c(C(=O)N(Cc2ccc(F)cc2)C2CCS(=O)(=O)C2)n1,5.5
CC(C)Sc1ncc(Cl)c(C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)n1,4.8
CC(C)Sc1ncc(Cl)c(C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3C)cc2)n1,4.35
CC(C)Sc1ncc(Cl)c(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)n1,4.2
CC(C)Sc1ncc(Cl)c(C(=O)Nc2nnc(C(C)C)s2)n1,4.55
CC(C)c1cc(C(=O)NC(C)c2ccccc2)no1,5.5
CC(C)c1cc(C(=O)NCc2ccc(F)cc2)no1,3.9
CC(C)c1ccc(-c2nc(C(N)=O)c3c(n2)n(-c2ccc4c(c2)OCO4)c(=O)n3C)cc1,4.3
CC(C)c1ccc(-c2noc(SCC(=O)N3CCCCC3C)n2)cc1,6.25
CC(C)c1ccc(C(=O)NCC2(N3CCOCC3)CCCCC2)cc1,4.4
CC(C)c1ccc(CNCCSc2nnnn2-c2ccccc2)cc1,4.2
CC(C)c1ccc(CNc2nc(-c3ccco3)nn2C(=O)c2ccc([N+](=O)[O-])cc2)cc1,4.4
CC(C)c1ccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)cc1,5.15
CC(C)c1ccc(NC(=O)C2(C)Cc3ccccc3C(=O)O2)cc1,5.9
CC(C)c1ccc(NC(=O)C2CCCN(S(=O)(=O)c3ccc4[nH]c(=O)oc4c3)C2)cc1,4.6
CC(C)c1ccc(NC(=O)C2CCN(S(=O)(=O)c3cccc4nonc34)CC2)cc1,4.05
CC(C)c1ccc(NC(=O)CCNS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)cc1,5.45
CC(C)c1ccc(NC(=O)CN2C(=O)C3(SCC(=O)N3c3ccc(F)cc3)c3ccccc32)cc1,5.3
CC(C)c1ccc(NC(=O)[C@H]2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1,5.55
CC(C)c1ccc(NC(=O)c2ccc3c(c2)CCN3S(=O)(=O)c2ccccc2)cc1,4.05
CC(C)c1ccc(Nc2c(-c3ccccc3O)nc3cnccn23)cc1,4.1
CC(C)c1ccc(OC(=O)c2cc(-c3ccccc3)on2)cc1,4.0
CC(C)c1ccc(OCC(=O)NCCS(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,4.25
CC(C)c1cccc(C(C)C)c1NC1=NS(=O)(=O)c2ccccc21,4.3
CC(C)c1ccccc1NC(=O)CN(c1ccccc1)S(=O)(=O)N(C)C,4.0
CC(C)c1ccccc1NC(=O)CN1C(=O)c2cccc3cccc1c23,4.0
CC(C)c1ccccc1NC(=O)CSc1nnc(COc2ccccc2)o1,4.0
CC(C)c1nc2ccc(C(=O)NC(C)c3ccccc3)cc2o1,4.3
CC(C)c1nc2ccc(C(=O)NCCCN3CCN(c4ccccc4)CC3)cc2o1,4.55
CC(C)c1nc2ccc(C(=O)NCc3ccc(N(C)C)cc3)cc2o1,4.0
CC(C)c1nn2c(=O)cc(COC(=O)C3CCCCC3)nc2s1,5.4
CC(C)c1nn2c(=O)cc(COC(=O)COc3ccccc3F)nc2s1,5.5
CC(C)c1nn2c(=O)cc(COC(=O)Cc3ccccc3)nc2s1,5.55
CC(CCCc1ccccc1)NC(=O)c1nn(-c2ccc(Cl)cc2)nc1CO,3.95
CC(CCc1ccccc1)NC(=O)CN1CCN(c2ccccc2)CC1,4.05
CC(CCc1ccccc1)NC(=O)CSc1nnc(-c2ccccc2)[nH]1,4.6
CC(CCc1ccccc1)NC(=O)CSc1nnc(-c2ccccc2Cl)[nH]1,6.05
CC(CNC(=O)CCS(=O)(=O)c1ccc2c(c1)oc(=O)n2C)c1ccccc1,5.45
CC(CNC(=O)c1csc2c1CCCCC2)c1ccccc1,4.95
CC(CNC(=O)c1nnc(Cc2cccc(F)c2)o1)c1ccccc1,3.95
CC(Cc1cccnc1)NC(=O)c1cc(COc2ccc(F)cc2Cl)on1,5.6
CC(NC(=O)C1CCN(C(=O)N2CCOc3ccc(Cl)cc32)CC1)c1ccccc1,3.95
CC(NC(=O)C1CCN(C(=O)N2CCOc3ccccc32)CC1)c1ccccc1,3.95
